"Time","PESCO","TESCO","IESCO","GEPCO","LESCO","FESCO","MEPCO","SEPCO","HESCO","QESCO"
"2021-03-14 00:00:00",994.420535194667,174.096494780815,825.52124383874,890.972925180762,1727.33662060513,1315.56380985809,1622.26034011262,336.654887938317,576.92619804406,482.224306047153
"2021-03-14 01:00:00",951.523116831761,177.524769592438,808.673989311486,856.100158146571,1674.8651373276,1267.06521261469,1574.99254056208,315.778421612351,594.828551979836,467.178810094481
"2021-03-14 02:00:00",965.717889329987,178.737576427865,798.860138296812,847.786290427454,1647.34769677949,1253.48861485485,1547.74074942313,309.057619174117,603.781900175055,401.6393220787
"2021-03-14 03:00:00",997.436433209745,172.487293534265,793.52959148329,830.084537179298,1630.76872481258,1252.44421634245,1545.4624657292,271.048048850744,568.208616532447,386.655873831062
"2021-03-14 04:00:00",893.73845228412,167.875508982875,802.60581786078,847.094520249549,1634.99170129044,1262.10478244219,1547.96868110389,235.235264471988,514.557376917096,378.334026595636
"2021-03-14 05:00:00",1282.99718345555,174.297829796218,842.880382089288,891.907565625305,1674.6546845861,1306.45061784601,1602.02286567735,232.067854294673,454.677038388878,405.888787607915
"2021-03-14 06:00:00",1342.12406433851,182.993989943224,881.714442124761,950.722534448604,1700.39353423594,1337.13918787371,1719.59721008406,238.796867217011,350.635228396978,432.225418094181
"2021-03-14 07:00:00",1326.55690476081,167.675491176995,920.363493365149,1017.53802967134,1738.30044043138,1383.44026737221,1714.13326013762,220.006391994278,318.09270973998,410.424872180684
"2021-03-14 08:00:00",1425.39355939516,178.333143755019,994.566640901112,1126.77252878642,1785.65665536388,1493.52723184066,1785.40376280481,269.150194340357,413.524537273804,444.247174447412
"2021-03-14 09:00:00",1816.98069329629,96.1751415459167,1024.72068154703,1245.69560399881,1781.71513034217,800.34289176152,1869.41725909123,323.643036830543,552.813228206069,11.456329697842
"2021-03-14 10:00:00",1816.98069329629,96.1751415459167,1050.9072880926,1312.77457806778,1754.15829592505,800.34289176152,1906.08844670754,291.673319203333,536.431354898725,11.456329697842
"2021-03-14 11:00:00",1816.98069329629,96.1751415459167,1046.56881630971,1318.03032720111,1767.32886207903,800.34289176152,1907.99463676964,278.315566093258,570.153434489172,11.456329697842
"2021-03-14 12:00:00",1816.98069329629,96.1751415459167,1014.25180837674,1290.06439204154,1822.70448072426,800.34289176152,1944.85007379502,286.503292217056,537.191510575375,11.456329697842
"2021-03-14 13:00:00",2208.55533241436,96.1751415459167,984.244680282454,1231.15595877877,1800.17550826953,674.527555904458,1935.11682990726,309.540680675315,477.63013816076,89.2620058230466
"2021-03-14 14:00:00",1302.67122428337,167.408864960193,974.4381935123,1159.65888562604,1785.92079936757,1645.98092625165,1919.3449533804,336.165932684235,518.985166530872,563.16621822493
"2021-03-14 15:00:00",1333.48327146786,164.161937504243,962.647851695513,1203.24127655833,1785.2871447381,1640.04428725122,1905.56418503541,312.955827344388,564.69661219583,562.928268221945
"2021-03-14 16:00:00",1260.67499032264,161.892949411148,963.93222285104,1200.69823883413,1830.01277798697,1595.14713077817,1889.39574064899,279.915223594099,528.017101030939,514.249300117379
"2021-03-14 17:00:00",1421.67647000469,162.091768109071,976.676437426688,1175.26120473546,1894.30036935978,1539.00793070772,1833.95204963673,263.714505663702,511.940203596687,476.695005613758
"2021-03-14 18:00:00",1448.00008436873,169.276788531821,1076.30534346556,1208.13501099092,2051.89131792064,1585.22654687697,1830.36402510141,305.902849747537,543.495939339518,526.462506056623
"2021-03-14 19:00:00",1471.75320483057,168.275668365289,1103.83859301794,1181.74142950547,2032.52035867614,1574.53761808145,1881.99633585077,356.316546853597,529.04220025193,602.138606577764
"2021-03-14 20:00:00",1472.48154456815,169.276788531821,1057.87467012786,1124.85237883524,1924.37868081404,1549.10098613554,1874.83217576845,386.699925582228,536.938212615075,590.754539329916
"2021-03-14 21:00:00",1435.42147158248,164.082232821963,994.359160360995,1061.78062506197,1855.57502391899,1504.52513037663,1814.81552402194,366.010390441112,581.013410166649,573.489044443965
"2021-03-14 22:00:00",1196.57974915692,173.090435806479,920.553224398548,1005.84748636129,1773.17641573137,1441.5465389622,1754.36185072502,325.552287426297,609.40118042767,608.025871468945
"2021-03-14 23:00:00",1370.30991412938,169.877955273448,871.470197820072,942.446132705057,1704.79064707926,1385.50075805285,1703.45473183653,307.362256115593,575.479253983477,586.257634971174
